,visual,word,frequency
0,1,一,1
1,2,二,1
2,3,三,1
3,4,四个,1
4,5,五,1
5,6,六,1
6,7,七,1
7,8,八,1
8,9,九,1
9,14,十四,1
10,15,十五,1
11,16,十六,1
12,19,十九,1
13,21,二一,1
14,24,二四个,1
15,30,三十,1
16,40,四十,1
17,60,六十,1
18,70,七十,1
19,80,八十,1
20,105,一百五,1
21,121,一百二十一,1
22,124,一百二十四,1
23,125,一百二十五,1
24,135,一百三十五,1
25,145,一百四十五,1
26,205,两百五,1
27,221,两百二十一,1
28,223,两百二十三,1
29,224,两百二十四,1
30,225,两百二五,1
31,250,两百五十,1
32,260,两百六十,1
33,261,两百六十一,1
34,262,两百六十二,1
35,305,三百五,1
36,321,三百二十一,1
37,324,三百二十四,1
38,350,三百五十,1
39,402,四个两个,1
40,405,四百五,1
41,421,四百二十一,1
42,450,四百五十,1
43,470,四百七十,1
44,502,五百两个,1
45,515,五百五百,1
46,521,五百二十一,1
47,525,五百二十五,1
48,535,五百三十五,1
49,570,五百七十,1
50,602,六百个,1
51,670,六百七十,1
52,1000,一千,1
53,1002,一千,1
54,2000,两千,1
55,2002,两千两个,1
56,2520,两千二十二十,1
57,2620,两千二十二十,1
58,3000,三千,1
59,3002,三千两个,1
60,3520,三千五百二十,1
61,3620,三千六百二十,1
62,4520,四千五十二十,1
63,4620,四千六十二十,1
